PROYECTO,Tipo ,N° Departamento,N° Departamento.1,Estado MS,Broker ,Fecha Reserva,Tiempo transcurrido ,Fecha Promesa ,Arriendo,Fecha Inicio C. Arriendo,Fecha Fin C. Arriendo,Valor Arriendo,Estado Arriendo,Orientación,Tipología,M2 Terraza,M2 Dpto,Total M2,Precio,Precio Pie Regalo,Precio de Pie Regalo + 24 Cuotas,Precio de Pie Regalo + 36 Cuotas,Precio de Pie Regalo + 48 Cuotas,Precio de Pie Regalo + 60 Cuotas,Unidad_Unificada,Precio_UF_Unificado,Estado_Unificado,Tipologia_Unificada,M2_Total_Unificado,Proyecto_Unificado,Archivo_Origen,Unnamed: 0,Depto,Tipo,Caract.,Orientacion,"M2
 Útil.","M2
 Terraza",M2 total,Precio Con Bono Pie 15%,Estado,Condicion,Unnamed: 11,Unnamed: 12,Número del producto,Tipo Unidad,Programa,Grupo,Piso Producto,Proyecto,Superficie Vendible,Superficie Comercial,Superficie Interior,Superficie de Terraza,Precio LISTA,OBSERVACIONES
ARMONÍA,DEPARTAMENTO,313.0,313.0,PROMESADO,,,,,,,,,,NORTE,1.5D+1B,6.68,40.23,46.91,2868.62,3187.355556,3227.701828,3235.893965,3252.403628,3260.721796,313,2868.62,PROMESADO,1.5D+1B,46.91,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,314.0,314.0,PROMESADO,CI,2025-10-04,,2025-11-14 00:00:00,,,,,,NORORIENTE,3D+2B,7.45,65.02,72.47,3494.51,3882.788889,3931.938115,3941.917654,3962.029478,3972.162546,314,3494.51,PROMESADO,3D+2B,72.47,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,401.0,401.0,PROMESADO,AM,2025-10-07,,,Arrendado,2024-10-01,2025-09-30,270000.0,Por Vencer,ORIENTE,1D+1B,8.08,32.36,40.44,3065.93,3406.588889,3449.710267,3458.465877,3476.111111,3485.001421,401,3065.93,PROMESADO,1D+1B,40.44,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,402.0,402.0,DISPONIBLE,,,,,Arrendado,2024-10-09,2025-10-08,270000.0,Por Vencer,ORIENTE,1D+1B,8.08,32.0,40.08,2293.78,2548.644444,2580.905767,2587.456289,2600.657596,2607.308895,402,2293.78,DISPONIBLE,1D+1B,40.08,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,403.0,403.0,PROMESADO,,,,,,,,,,ORIENTE,1.5D+1B,6.54,40.43,46.97,2396.08,2662.311111,2696.011252,2702.85392,2716.643991,2723.59193,403,2396.08,PROMESADO,1.5D+1B,46.97,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,404.0,404.0,PROMESADO,,,,2025-06-02 00:00:00,,,,,,ORIENTE,1.5D+1B,6.54,40.43,46.97,3315.18,3683.533333,3730.160338,3739.62775,3758.707483,3768.320546,404,3315.18,PROMESADO,1.5D+1B,46.97,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,405.0,405.0,PROMESADO,,,,,,,,,,SURORIENTE,2D+2B,8.15,49.54,57.69,3120.79,3467.544444,3511.437412,3520.34969,3538.310658,3547.360045,405,3120.79,PROMESADO,2D+2B,57.69,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,406.0,406.0,PROMESADO,RE,2025-09-08,,2025-10-03 00:00:00,,,,,,SURPONIENTE,2D+2B,8.01,49.48,57.49,3395.53,3772.811111,3820.568214,3830.265087,3849.807256,3859.653311,406,3395.53,PROMESADO,2D+2B,57.49,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,407.0,407.0,PROMESADO,,,,,,,,,,PONIENTE,1D+1B,8.08,32.0,40.08,2176.39,2418.211111,2448.821378,2455.036661,2467.562358,2473.873259,407,2176.39,PROMESADO,1D+1B,40.08,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,408.0,408.0,PROMESADO,inv+,2025-11-27,,,,,,,,PONIENTE,1D+1B,4.2,32.0,36.2,2164.55,2405.055556,2435.499297,2441.680767,2454.138322,2460.414891,408,2164.55,PROMESADO,1D+1B,36.2,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,409.0,409.0,PROMESADO,,,,,,,,,,PONIENTE,1D+1B,4.2,32.0,36.2,2078.13,2309.033333,2338.261603,2344.196277,2356.156463,2362.182438,409,2078.13,PROMESADO,1D+1B,36.2,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,410.0,410.0,PROMESADO,,,,,,,,,,SUR,1D+1B,4.34,32.0,36.34,2116.68,2351.866667,2381.637131,2387.681895,2399.863946,2406.001705,410,2116.68,PROMESADO,1D+1B,36.34,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,411.0,411.0,PROMESADO,,,,,,,,,,SURPONIENTE,2D+2B,7.84,56.26,64.1,3269.65,3632.944444,3678.931083,3688.268472,3707.086168,3716.567207,411,3269.65,PROMESADO,2D+2B,64.1,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,412.0,412.0,PROMESADO,,,,,,,,,,NORPONIENTE,2D+2B,7.84,56.26,64.1,2944.95,3272.166667,3313.586498,3321.996616,3338.945578,3347.485081,412,2944.95,PROMESADO,2D+2B,64.1,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,413.0,413.0,PROMESADO,,,,,,,,,,NORTE,1.5D+1B,6.68,40.43,47.11,2497.58,2775.088889,2810.216596,2817.349126,2831.723356,2838.965615,413,2497.58,PROMESADO,1.5D+1B,47.11,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,414.0,414.0,PROMESADO,CI,2025-10-15,,2025-11-18 00:00:00,,,,,,NORORIENTE,3D+2B,7.45,65.02,72.47,3510.66,3900.733333,3950.109705,3960.135364,3980.340136,3990.520034,414,3510.66,PROMESADO,3D+2B,72.47,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,501.0,501.0,PROMESADO,,,,,,,,,,ORIENTE,1D+1B,8.08,32.36,40.44,2165.63,2406.255556,2436.714487,2442.899041,2455.362812,2461.642512,501,2165.63,PROMESADO,1D+1B,40.44,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,502.0,502.0,PROMESADO,,,,,,,,,,ORIENTE,1D+1B,8.08,32.0,40.08,2154.86,2394.288889,2424.596343,2430.750141,2443.151927,2449.400398,502,2154.86,PROMESADO,1D+1B,40.08,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,503.0,503.0,PROMESADO,,,,,,,,,,ORIENTE,1.5D+1B,6.54,40.43,46.97,2390.65,2656.277778,2689.901547,2696.728708,2710.487528,2717.419722,503,2390.65,PROMESADO,1.5D+1B,46.97,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,504.0,504.0,PROMESADO,,,,,,,,,,ORIENTE,1.5D+1B,6.54,40.43,46.97,2406.85,2674.277778,2708.129395,2715.00282,2728.854875,2735.834044,504,2406.85,PROMESADO,1.5D+1B,46.97,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,505.0,505.0,PROMESADO,,,,,,,,,,SURORIENTE,2D+2B,8.15,49.54,57.69,2919.45,3243.833333,3284.894515,3293.23181,3310.034014,3318.499574,505,2919.45,PROMESADO,2D+2B,57.69,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
